"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.13530285278494,0.389851179858482,1.44067986802669,1.53698951487936,1.86105226223912,2.11162470281883,2.38376174978005,2.81439836114473,2.96442937992634
"2",3,9,1.65775707509869,0.288578465777154,1.14112369220854,1.21331184904569,1.45508368203402,1.64104245728031,1.84222255430696,2.15922626546826,2.26934144085958
"3",4,10,1.4247032843011,0.244334597505525,0.98664844069458,1.04799986174843,1.25318994035581,1.41076021164142,1.58102754623682,1.84897498664642,1.94196566577412
"4",5,11,1.18005526795501,0.211944182809346,0.80179030206779,0.854379495650806,1.03104316643051,1.16739104377491,1.31527236269598,1.54893702718043,1.63026026190783
"5",6,12,1.21586126177255,0.21493593579535,0.83164820298394,0.885202191543977,1.06482867170291,1.20321976270263,1.35312326549688,1.58964856415299,1.671886195279
"6",7,13,1.21222316161439,0.211020966469038,0.834438646494556,0.887225726716811,1.06401967329488,1.20000071529742,1.347112241428,1.57891896797421,1.65943991284585
"7",8,14,1.02224439781067,0.189826019151049,0.684613116724447,0.731291689947723,0.888626637223668,1.01051877543159,1.14309024459239,1.35320136469818,1.42648198947418
"8",9,15,0.697478791786014,0.160012608876741,0.419927795066913,0.456736725373885,0.583946962782352,0.685281222639652,0.797730483185251,0.979839142499164,1.04430049791651
"9",10,16,0.579319297976021,0.16067426413218,0.308463127516284,0.342670853664557,0.464423149001739,0.564534581915992,0.678128118396577,0.866419662696653,0.934111594967272
"10",11,17,0.836648567780404,0.216021731309453,0.468265852263775,0.515728610833331,0.682638513183924,0.818131625092523,0.970505157925536,1.22075313951664,1.3101705246192
"11",12,18,0.823401399978036,0.220063280750559,0.450161207488585,0.497801286079669,0.666283346383222,0.803881764011488,0.959277161039746,1.21560919374896,1.307467080077
"12",13,19,0.814811062383354,0.225987928095267,0.433852574073993,0.481965650544902,0.653209932338889,0.794016398297423,0.953785407310237,1.21861696701308,1.31382549094955
"13",14,20,1.21222066411325,0.285723150629645,0.718438792085372,0.783519129940969,1.00927603538996,1.18984754359903,1.3908082292274,1.71726075696752,1.83305589552457
"14",15,21,1.27091672545536,0.277336766494505,0.786717484161551,0.85163674350899,1.07452710823828,1.25080136398894,1.4454030193326,1.75882884856221,1.86935981422357
"15",16,22,1.08644452595442,0.242936381381662,0.663628541488855,0.720022183622833,0.914251079027197,1.06839175212826,1.23898170730405,1.51446236470225,1.61178682216222
"16",17,23,1.71809483141384,0.303719126503571,1.17517559282895,1.25085102870266,1.50467548783232,1.70023153163103,1.91205539793808,2.24628176561366,2.36248914340224
"17",18,24,1.52684852226402,0.251012350828887,1.07504226580198,1.1387242692213,1.35089554835696,1.51311537871044,1.68784024722847,1.96182428214365,2.05667215999322
"18",19,25,1.28394735371649,0.211079644704385,0.904017426865057,0.957568475693635,1.13598614346393,1.27239896953383,1.41932744953101,1.64972429077646,1.72948314045593
"19",20,26,1.23287523274855,0.19999877233339,0.872455891702023,0.923355688545665,1.09274252961864,1.22207756514055,1.36124447129197,1.57923158242563,1.65463620920585
"20",21,27,0.956004474999986,0.171703472471321,0.649558658482785,0.692163022674243,0.835284505558684,0.945744739445775,1.06554862193887,1.2548486242037,1.32073145056962
