"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,3.50145387023163,0.63204785954336,2.37398640231,2.53060574559758,3.05700074899921,3.46349783383153,3.90456220253599,4.60179518352547,4.84453239708371
"2",3,9,2.99097128285863,0.51530189288405,2.06751862897764,2.19676015461734,2.62919347426589,2.9614308342746,3.32056899808804,3.88596294366061,4.0822361589035
"3",4,10,2.38064238343825,0.404195999973309,1.65528808601866,1.75703407739045,2.09700846657511,2.35780647738971,2.63939933594094,3.08215758356107,3.23572343645904
"4",5,11,1.76428653645304,0.313406500683284,1.20432097180254,1.28231120003243,1.54402306159969,1.74576387663181,1.96437313113706,2.30945460258895,2.42947234835491
"5",6,12,1.5653387015721,0.273779460038636,1.0754249961436,1.1438285973975,1.37302792155167,1.54940651701857,1.74029402398827,2.04120348390069,2.14575827261644
"6",7,13,1.45770676007999,0.251142181486,1.00764453986049,1.07063285629393,1.28138746197943,1.44330966043429,1.61834247743052,1.89389797383158,1.98955545951922
"7",8,14,1.1878207264373,0.217994632401685,0.799613344073151,0.853391460331769,1.03443893173265,1.17451186060124,1.32670580944248,1.56765560916903,1.65162867372164
"8",9,15,0.745623529082523,0.168033837664857,0.453469063825863,0.492368965535995,0.626484498916351,0.733039515004213,0.85106106418115,1.04181452633478,1.10924508306546
"9",10,16,0.513397741891911,0.138756146457273,0.278485653862642,0.308375621854994,0.414283596144387,0.500952749900075,0.598969132621897,0.760886784035827,0.818966497811127
"10",11,17,0.6166012308111,0.155665695185552,0.350233447275654,0.384754525909079,0.505724649973044,0.603552198738349,0.713274490151263,0.892973954141508,0.957064339306101
"11",12,18,0.623078437301749,0.162566787663883,0.346301854666599,0.381862693720884,0.507127981099778,0.60899851564198,0.723705121326422,0.912338872752137,0.979799346054719
"12",13,19,0.626364968733786,0.16928782938751,0.339763196526109,0.376230105784398,0.505441903171697,0.611181600394196,0.730765352891258,0.928311108140581,0.999170590242845
"13",14,20,0.923831848350976,0.213692007709177,0.553581214960333,0.602592535866763,0.772163932812414,0.907408712167654,1.05761940815704,1.30110739254176,1.38734936033409
